omega_s_krad,omega_r_krad,freq_ratio,detuning_pct,inst_better_frac,avg_better_frac,mean_err_inst,mean_err_avg,max_envelope
403.59379855206095,576.5625693600872,0.7,-30.00000000000001,0.834,0.166,3.6472165710347454e-06,0.0007350543573397498,0.044822433501080214
432.4219270200653,576.5625693600872,0.7499999999999999,-25.00000000000001,0.832,0.168,5.197650738724978e-06,0.001035573474375478,0.053496756663600785
461.25005548806973,576.5625693600872,0.7999999999999999,-20.0,0.838,0.162,7.604653200857575e-06,0.0015122672166150949,0.06384533821040313
490.07818395607404,576.5625693600872,0.85,-15.000000000000005,0.833,0.167,1.1653896586215161e-05,0.002300039716367431,0.07891250189023032
518.9063124240785,576.5625693600872,0.8999999999999999,-10.000000000000005,0.832,0.168,1.940567751698138e-05,0.0037938286920976396,0.10297209561835785
547.7344408920827,576.5625693600872,0.95,-5.000000000000008,0.8363333333333334,0.16366666666666665,3.728739726597388e-05,0.007230202168852962,0.14723634294509808
576.5625693600872,576.5625693600872,1.0,0.0,0.8643333333333334,0.13566666666666666,6.661560165928514e-05,0.012811216843429757,0.21448567942235022
605.3906978280914,576.5625693600872,1.0499999999999998,4.999999999999988,0.8363333333333334,0.16366666666666665,4.771963356160051e-05,0.009198258364936185,0.15325145870308957
634.2188262960958,576.5625693600872,1.0999999999999999,9.999999999999996,0.831,0.169,3.1952540129493786e-05,0.006177311433900205,0.11024191251254013
663.0469547641003,576.5625693600872,1.1500000000000001,15.000000000000005,0.8346666666666667,0.16533333333333333,2.4749211597905477e-05,0.004766469109702891,0.08660743791899062
691.8750832321045,576.5625693600872,1.2,19.999999999999993,0.833,0.167,2.0920613621249322e-05,0.004015525634463508,0.07099825873436728
720.7032117001089,576.5625693600872,1.25,25.0,0.8376666666666667,0.16233333333333333,1.8627509425942503e-05,0.003573664457878624,0.060947844264152055
749.5313401681134,576.5625693600872,1.3,30.00000000000001,0.836,0.164,1.7146757304582862e-05,0.0032717492795920414,0.053742353240973886
