Q,Rs,tau_us,omega_r,crossover_time_ms,crossover_periods,inst_better_frac,avg_better_frac,mean_err_inst,mean_err_avg
5,11.535863887756623,17.344171355242086,576.5625693600872,,,0.846,0.154,5.4029062257632284e-05,0.010077175346829604
10,5.767931943878311,34.68834271048417,576.5625693600872,,,0.8413333333333333,0.15866666666666668,9.565049449487747e-05,0.017791915349761836
15,3.8452879625855414,52.03251406572625,576.5625693600872,,,0.855,0.145,0.0001284802485527568,0.023859514135752807
20,2.8839659719391557,69.37668542096834,576.5625693600872,,,0.85,0.15,0.00015493449575490205,0.0287405283963699
30,1.9226439812927707,104.0650281314525,576.5625693600872,,,0.8483333333333334,0.15166666666666667,0.00019476493862464269,0.0360832854938537
50,1.1535863887756623,173.44171355242082,576.5625693600872,,,0.8653333333333333,0.13466666666666666,0.00024449157609909963,0.045244789639274315
75,0.7690575925171083,260.16257032863126,576.5625693600872,,,0.861,0.139,0.0002797540545943646,0.05174133213228991
100,0.5767931943878312,346.88342710484164,576.5625693600872,,,0.8483333333333334,0.15166666666666667,0.0003012644478668894,0.05570491193787836
